,season_id,player_id,player_season,player,season,season_start,team,games,gamesstarted,mp,fg_perc,3p_perc,2p_perc,ft_perc,trb,ast,stl,blk,tov,pf,pts,all_nba
0,0,0,1,Alaa Abdelnaby,1990-91,1990,POR,43,0,6.7,0.474,0.0,0.474,0.568,2.1,0.3,0.1,0.3,0.5,0.9,3.1,0
1,1,0,2,Alaa Abdelnaby,1991-92,1991,POR,71,1,13.2,0.493,0.0,0.493,0.752,3.7,0.4,0.4,0.2,0.9,1.9,6.1,0
2,2,0,3,Alaa Abdelnaby,1992-93,1992,TOT,75,52,17.5,0.518,0.0,0.519,0.759,4.5,0.4,0.3,0.3,1.3,2.5,7.7,0
3,3,0,4,Alaa Abdelnaby,1993-94,1993,BOS,13,0,12.2,0.436,0.0,0.436,0.64,3.5,0.2,0.2,0.2,1.3,1.5,4.9,0
4,4,0,5,Alaa Abdelnaby,1994-95,1994,TOT,54,0,9.4,0.511,0.0,0.515,0.571,2.1,0.2,0.3,0.2,0.8,1.9,4.7,0
5,5,1,1,Mahmoud Abdul-Rauf,1990-91,1990,DEN,67,19,22.5,0.413,0.24,0.432,0.857,1.8,3.1,0.8,0.1,1.6,2.2,14.1,0
6,6,1,2,Mahmoud Abdul-Rauf,1991-92,1991,DEN,81,11,19.0,0.421,0.33,0.433,0.87,1.4,2.4,0.5,0.0,1.4,1.6,10.3,0
7,7,1,3,Mahmoud Abdul-Rauf,1992-93,1992,DEN,81,81,33.5,0.45,0.355,0.465,0.935,2.8,4.2,1.0,0.1,2.3,2.2,19.2,0
8,8,1,4,Mahmoud Abdul-Rauf,1993-94,1993,DEN,80,78,32.7,0.46,0.316,0.476,0.956,2.1,4.5,1.0,0.1,1.9,1.9,18.0,0
9,9,1,5,Mahmoud Abdul-Rauf,1994-95,1994,DEN,73,43,28.5,0.47,0.386,0.492,0.885,1.9,3.6,1.1,0.1,1.6,1.7,16.0,0
10,10,1,6,Mahmoud Abdul-Rauf,1995-96,1995,DEN,57,53,35.6,0.434,0.392,0.454,0.93,2.4,6.8,1.1,0.1,2.0,2.1,19.2,0
11,11,1,7,Mahmoud Abdul-Rauf,1996-97,1996,SAC,75,51,28.4,0.445,0.382,0.468,0.846,1.6,2.5,0.7,0.1,1.6,2.3,13.7,0
12,12,1,8,Mahmoud Abdul-Rauf,1997-98,1997,SAC,31,0,17.1,0.377,0.161,0.405,1.0,1.2,1.9,0.5,0.0,0.6,1.0,7.3,0
13,13,1,9,Mahmoud Abdul-Rauf,2000-01,2000,VAN,41,0,11.9,0.488,0.286,0.5,0.759,0.6,1.9,0.2,0.0,0.6,1.2,6.5,0
14,14,2,1,Tariq Abdul-Wahad,1997-98,1997,SAC,59,16,16.3,0.403,0.211,0.414,0.672,2.0,0.9,0.6,0.2,1.1,1.4,6.4,0
15,15,2,2,Tariq Abdul-Wahad,1998-99,1998,SAC,49,49,24.6,0.435,0.286,0.443,0.691,3.8,1.0,1.0,0.3,1.4,2.5,9.3,0
16,16,2,3,Tariq Abdul-Wahad,1999-00,1999,TOT,61,56,25.9,0.424,0.13,0.435,0.756,4.8,1.6,1.0,0.5,1.7,2.4,11.4,0
17,17,2,4,Tariq Abdul-Wahad,2000-01,2000,DEN,29,12,14.5,0.387,0.4,0.386,0.583,2.0,0.8,0.5,0.4,1.2,1.9,3.8,0
18,18,2,5,Tariq Abdul-Wahad,2001-02,2001,TOT,24,12,18.4,0.374,0.5,0.372,0.727,3.5,1.0,0.8,0.4,1.1,2.3,5.6,0
19,19,2,6,Tariq Abdul-Wahad,2002-03,2002,DAL,14,0,14.6,0.466,0.0,0.474,0.5,2.9,1.5,0.4,0.2,0.5,1.9,4.1,0
20,20,3,1,Shareef Abdur-Rahim,1996-97,1996,VAN,80,71,35.0,0.453,0.259,0.457,0.746,6.9,2.2,1.0,1.0,2.8,2.5,18.7,0
21,21,3,2,Shareef Abdur-Rahim,1997-98,1997,VAN,82,82,36.0,0.485,0.412,0.488,0.784,7.1,2.6,1.1,0.9,3.1,2.5,22.3,0
22,22,3,3,Shareef Abdur-Rahim,1998-99,1998,VAN,50,50,40.4,0.432,0.306,0.438,0.841,7.5,3.4,1.4,1.1,3.7,2.7,23.0,0
23,23,3,4,Shareef Abdur-Rahim,1999-00,1999,VAN,82,82,39.3,0.465,0.302,0.478,0.809,10.1,3.3,1.1,1.1,3.0,3.0,20.3,0
24,24,3,5,Shareef Abdur-Rahim,2000-01,2000,VAN,81,81,40.0,0.472,0.188,0.487,0.834,9.1,3.1,1.1,1.0,2.9,2.9,20.5,0
25,25,3,6,Shareef Abdur-Rahim,2001-02,2001,ATL,77,77,38.7,0.461,0.3,0.47,0.801,9.0,3.1,1.3,1.1,3.2,2.8,21.2,0
26,26,3,7,Shareef Abdur-Rahim,2002-03,2002,ATL,81,81,38.1,0.478,0.35,0.485,0.841,8.4,3.0,1.1,0.5,2.6,3.0,19.9,0
27,27,3,8,Shareef Abdur-Rahim,2003-04,2003,TOT,85,56,31.6,0.475,0.265,0.482,0.869,7.5,2.0,0.8,0.4,2.2,2.6,16.3,0
28,28,3,9,Shareef Abdur-Rahim,2004-05,2004,POR,54,49,34.6,0.503,0.385,0.51,0.866,7.3,2.1,0.9,0.5,2.2,2.8,16.8,0
29,29,3,10,Shareef Abdur-Rahim,2005-06,2005,SAC,72,30,27.2,0.525,0.227,0.536,0.784,5.0,2.1,0.7,0.6,1.5,3.2,12.3,0
30,30,3,11,Shareef Abdur-Rahim,2006-07,2006,SAC,80,45,25.2,0.474,0.15,0.484,0.726,5.0,1.4,0.7,0.5,1.5,3.0,9.9,0
31,31,3,12,Shareef Abdur-Rahim,2007-08,2007,SAC,6,0,8.5,0.214,0.0,0.214,1.0,1.7,0.7,0.2,0.0,0.2,1.5,1.7,0
32,32,4,1,Alex Abrines,2016-17,2016,OKC,66,6,15.5,0.391,0.372,0.443,0.898,1.2,0.6,0.5,0.1,0.5,1.7,5.9,0
33,33,5,1,Alex Abrines,2017-18,2017,OKC,75,8,15.1,0.395,0.38,0.443,0.848,1.5,0.4,0.5,0.1,0.3,1.7,4.7,0
35,35,6,1,Alex Acker,2005-06,2005,DET,5,0,7.0,0.25,0.2,0.273,0.0,1.0,0.8,0.2,0.0,0.8,0.8,1.8,0
36,36,6,2,Alex Acker,2008-09,2008,TOT,25,0,8.0,0.395,0.35,0.411,0.5,1.0,0.5,0.2,0.2,0.3,0.4,2.9,0
37,37,7,1,Mark Acres,1987-88,1987,BOS,79,5,14.6,0.532,0.0,0.532,0.64,3.4,0.5,0.4,0.3,0.7,2.5,3.6,0
38,38,7,2,Mark Acres,1988-89,1988,BOS,62,0,10.2,0.482,1.0,0.478,0.542,2.4,0.3,0.3,0.1,0.4,1.5,2.2,0
39,39,7,3,Mark Acres,1989-90,1989,ORL,80,50,21.1,0.484,0.75,0.48,0.692,5.4,0.8,0.5,0.3,0.9,3.1,4.5,0
40,40,7,4,Mark Acres,1990-91,1990,ORL,68,0,19.3,0.509,0.333,0.512,0.653,5.3,0.4,0.4,0.4,0.6,3.2,4.2,0
41,41,7,5,Mark Acres,1991-92,1991,ORL,68,6,13.6,0.517,0.333,0.52,0.761,3.7,0.3,0.4,0.2,0.5,2.1,3.1,0
42,42,7,6,Mark Acres,1992-93,1992,TOT,18,7,14.9,0.531,0.5,0.532,0.688,3.7,0.3,0.2,0.3,0.7,1.9,3.6,0
43,43,8,1,Quincy Acy,2012-13,2012,TOR,29,0,11.8,0.56,0.5,0.562,0.816,2.7,0.4,0.4,0.5,0.6,1.8,4.0,0
44,44,8,2,Quincy Acy,2013-14,2013,TOT,63,0,13.4,0.468,0.267,0.492,0.66,3.4,0.4,0.4,0.4,0.5,1.9,2.7,0
45,45,8,3,Quincy Acy,2014-15,2014,NYK,68,22,18.9,0.459,0.3,0.494,0.784,4.4,1.0,0.4,0.3,0.9,2.2,5.9,0
46,46,8,4,Quincy Acy,2015-16,2015,SAC,59,29,14.8,0.556,0.388,0.606,0.735,3.2,0.5,0.5,0.4,0.5,1.7,5.2,0
47,47,8,5,Quincy Acy,2016-17,2016,TOT,36,1,14.6,0.422,0.424,0.421,0.75,3.1,0.4,0.4,0.4,0.6,1.8,6.0,0
48,48,8,6,Quincy Acy,2017-18,2017,BRK,70,8,19.4,0.356,0.349,0.384,0.817,3.7,0.8,0.5,0.4,0.9,2.1,5.9,0
50,55,12,1,Michael Adams,1985-86,1985,SAC,18,0,7.7,0.364,0.0,0.39,0.667,0.3,1.2,0.5,0.1,0.6,0.5,2.2,0
51,56,12,2,Michael Adams,1986-87,1986,WSB,63,0,20.7,0.407,0.275,0.454,0.847,2.0,3.9,1.3,0.1,1.3,1.4,7.2,0
52,57,12,3,Michael Adams,1987-88,1987,DEN,82,75,33.9,0.449,0.367,0.505,0.834,2.7,6.1,2.0,0.2,1.8,1.7,13.9,0
53,58,12,4,Michael Adams,1988-89,1988,DEN,77,77,36.2,0.433,0.356,0.49,0.819,3.7,6.4,2.2,0.1,2.3,1.9,18.5,0
54,59,12,5,Michael Adams,1989-90,1989,DEN,79,74,34.1,0.402,0.366,0.431,0.85,2.8,6.3,1.5,0.0,1.8,1.7,15.5,0
55,60,12,6,Michael Adams,1990-91,1990,DEN,66,66,35.5,0.394,0.296,0.459,0.879,3.9,10.5,2.2,0.1,3.6,2.5,26.5,0
56,61,12,7,Michael Adams,1991-92,1991,WSB,78,78,35.8,0.393,0.324,0.425,0.869,4.0,7.6,1.9,0.1,2.7,2.1,18.1,0
57,62,12,8,Michael Adams,1992-93,1992,WSB,70,70,35.7,0.439,0.321,0.48,0.856,3.4,7.5,1.4,0.1,2.5,2.1,14.8,0
58,63,12,9,Michael Adams,1993-94,1993,WSB,70,67,33.4,0.408,0.288,0.454,0.83,2.6,6.9,1.4,0.1,2.4,2.0,12.1,0
59,64,12,10,Michael Adams,1994-95,1994,CHH,29,0,15.3,0.453,0.358,0.567,0.833,1.0,3.3,0.8,0.0,0.9,1.4,6.5,0
60,65,12,11,Michael Adams,1995-96,1995,CHH,21,3,15.7,0.446,0.341,0.548,0.743,1.0,3.2,1.0,0.2,1.2,1.2,5.4,0
61,50,9,1,Hassan Adams,2006-07,2006,NJN,61,8,8.1,0.556,0.0,0.56,0.667,1.3,0.2,0.3,0.1,0.4,0.8,2.9,0
62,51,9,2,Hassan Adams,2008-09,2008,TOR,12,0,4.3,0.308,0.0,0.308,0.5,0.6,0.1,0.1,0.1,0.3,0.3,0.9,0
63,66,13,1,Steven Adams,2013-14,2013,OKC,81,20,14.8,0.503,0.0,0.503,0.581,4.1,0.5,0.5,0.7,0.9,2.5,3.3,0
64,53,11,1,Jordan Adams,2014-15,2014,MEM,30,0,8.3,0.407,0.4,0.41,0.609,0.9,0.5,0.5,0.2,0.5,0.8,3.1,0
65,67,13,2,Steven Adams,2014-15,2014,OKC,70,67,25.3,0.544,0.0,0.547,0.502,7.5,0.9,0.5,1.2,1.4,3.2,7.7,0
66,54,11,2,Jordan Adams,2015-16,2015,MEM,2,0,7.5,0.333,0.0,0.4,0.6,1.0,1.5,1.5,0.0,1.0,1.0,3.5,0
67,68,13,3,Steven Adams,2015-16,2015,OKC,80,80,25.2,0.613,0.0,0.613,0.582,6.7,0.8,0.5,1.1,1.1,2.8,8.0,0
68,69,13,4,Steven Adams,2016-17,2016,OKC,76,76,30.1,0.572,0.0,0.574,0.606,7.6,1.1,1.1,1.0,1.8,2.4,11.4,0
69,70,13,5,Steven Adams,2017-18,2017,OKC,76,76,32.7,0.629,0.0,0.631,0.559,9.0,1.2,1.2,1.0,1.7,2.8,13.9,0
72,72,14,1,Rafael Addison,1986-87,1986,PHO,62,12,11.5,0.441,0.32,0.463,0.797,1.7,0.7,0.4,0.1,0.9,1.2,5.8,0
73,73,14,2,Rafael Addison,1991-92,1991,NJN,76,8,15.5,0.433,0.286,0.452,0.737,2.2,0.9,0.4,0.4,0.6,1.4,5.8,0
74,74,14,3,Rafael Addison,1992-93,1992,NJN,68,15,17.1,0.443,0.206,0.464,0.814,1.9,0.8,0.3,0.2,0.9,1.8,6.3,0
75,75,14,4,Rafael Addison,1994-95,1994,DET,79,16,22.5,0.476,0.289,0.507,0.747,3.1,1.4,0.7,0.3,1.0,3.0,8.3,0
76,76,14,5,Rafael Addison,1995-96,1995,CHH,53,0,9.7,0.467,0.0,0.494,0.773,1.7,0.6,0.2,0.2,0.5,1.4,3.2,0
77,77,14,6,Rafael Addison,1996-97,1996,CHH,41,3,8.7,0.402,0.4,0.402,0.786,1.1,0.8,0.2,0.1,0.4,1.3,3.1,0
78,78,15,1,Bam Adebayo,2017-18,2017,MIA,69,19,19.8,0.512,0.0,0.523,0.721,5.5,1.5,0.5,0.6,1.0,2.0,6.9,0
81,81,17,1,Jeff Adrien,2010-11,2010,GSW,23,0,8.5,0.426,0.0,0.426,0.579,2.5,0.4,0.2,0.2,0.4,1.2,2.5,0
82,82,17,2,Jeff Adrien,2011-12,2011,HOU,8,0,7.9,0.438,0.0,0.438,0.583,2.8,0.1,0.0,0.3,0.3,1.6,2.6,0
83,83,17,3,Jeff Adrien,2012-13,2012,CHA,52,5,13.7,0.429,0.0,0.434,0.65,3.8,0.7,0.3,0.5,0.6,1.5,4.0,0
84,84,17,4,Jeff Adrien,2013-14,2013,TOT,53,12,18.1,0.52,0.0,0.52,0.639,5.8,0.7,0.5,0.7,0.7,2.0,6.8,0
85,85,17,5,Jeff Adrien,2014-15,2014,MIN,17,0,12.6,0.432,0.0,0.432,0.579,4.5,0.9,0.2,0.5,0.5,1.8,3.5,0
86,86,18,1,Arron Afflalo,2007-08,2007,DET,75,9,12.9,0.411,0.208,0.461,0.782,1.8,0.7,0.4,0.1,0.5,1.1,3.7,0
87,87,18,2,Arron Afflalo,2008-09,2008,DET,74,8,16.7,0.437,0.402,0.456,0.817,1.8,0.6,0.4,0.2,0.6,1.9,4.9,0
88,88,18,3,Arron Afflalo,2009-10,2009,DEN,82,75,27.1,0.465,0.434,0.488,0.735,3.1,1.7,0.6,0.4,0.9,2.7,8.8,0
89,89,18,4,Arron Afflalo,2010-11,2010,DEN,69,69,33.7,0.498,0.423,0.546,0.847,3.6,2.4,0.5,0.4,1.0,2.2,12.6,0
90,90,18,5,Arron Afflalo,2011-12,2011,DEN,62,62,33.6,0.471,0.398,0.504,0.798,3.2,2.4,0.6,0.2,1.4,2.2,15.2,0
91,91,18,6,Arron Afflalo,2012-13,2012,ORL,64,64,36.0,0.439,0.3,0.489,0.857,3.7,3.2,0.6,0.2,2.2,2.1,16.5,0
92,92,18,7,Arron Afflalo,2013-14,2013,ORL,73,73,35.0,0.459,0.427,0.473,0.815,3.6,3.4,0.5,0.0,2.0,1.9,18.2,0
93,93,18,8,Arron Afflalo,2014-15,2014,TOT,78,72,32.1,0.424,0.354,0.466,0.843,3.2,1.7,0.5,0.1,1.5,2.1,13.3,0
94,94,18,9,Arron Afflalo,2015-16,2015,NYK,71,57,33.4,0.443,0.382,0.469,0.84,3.7,2.0,0.4,0.1,1.2,2.0,12.8,0
95,95,18,10,Arron Afflalo,2016-17,2016,SAC,59,43,25.9,0.432,0.413,0.444,0.89,2.1,1.2,0.4,0.1,0.7,1.7,8.4,0
96,96,18,11,Arron Afflalo,2017-18,2017,ORL,53,3,12.9,0.401,0.386,0.413,0.846,1.2,0.6,0.1,0.2,0.4,1.1,3.4,0
97,97,19,1,Maurice Ager,2006-07,2006,DAL,32,1,6.7,0.314,0.333,0.309,0.606,0.7,0.2,0.1,0.1,0.5,0.8,2.2,0
98,98,19,2,Maurice Ager,2007-08,2007,TOT,26,3,6.3,0.323,0.158,0.391,0.5,0.5,0.3,0.0,0.0,0.2,0.7,2.0,0
99,99,19,3,Maurice Ager,2008-09,2008,NJN,20,0,4.9,0.349,0.0,0.405,0.5,0.5,0.2,0.1,0.1,0.2,0.9,1.7,0
100,100,19,4,Maurice Ager,2010-11,2010,MIN,4,0,7.3,0.545,0.75,0.429,0.0,0.5,0.3,0.3,0.0,1.0,1.0,3.8,0
101,101,20,1,Mark Aguirre,1981-82,1981,DAL,51,20,28.8,0.465,0.352,0.475,0.68,4.9,3.2,0.7,0.4,2.6,3.0,18.7,0
102,102,20,2,Mark Aguirre,1982-83,1982,DAL,81,75,34.4,0.483,0.211,0.496,0.728,6.3,4.1,1.0,0.3,3.2,3.0,24.4,0
103,103,20,3,Mark Aguirre,1983-84,1983,DAL,79,79,36.7,0.524,0.268,0.532,0.749,5.9,4.5,1.0,0.3,3.6,3.1,29.5,0
104,104,20,4,Mark Aguirre,1984-85,1984,DAL,80,79,33.7,0.506,0.318,0.517,0.759,6.0,3.1,0.8,0.3,3.2,3.1,25.7,0
105,105,20,5,Mark Aguirre,1985-86,1985,DAL,74,73,33.8,0.503,0.286,0.513,0.705,6.0,4.6,0.8,0.2,3.4,3.1,22.6,0
106,106,20,6,Mark Aguirre,1986-87,1986,DAL,80,80,33.3,0.495,0.353,0.51,0.77,5.3,3.2,1.1,0.4,2.7,3.0,25.7,0
107,107,20,7,Mark Aguirre,1987-88,1987,DAL,77,77,33.9,0.475,0.302,0.496,0.77,5.6,3.6,0.9,0.7,2.6,2.9,25.1,0
108,108,20,8,Mark Aguirre,1988-89,1988,TOT,80,76,32.5,0.461,0.293,0.488,0.733,4.8,3.5,0.6,0.5,2.6,2.9,18.9,0
109,109,20,9,Mark Aguirre,1989-90,1989,DET,78,40,25.7,0.488,0.333,0.506,0.756,3.9,1.9,0.4,0.2,1.6,2.6,14.1,0
110,110,20,10,Mark Aguirre,1990-91,1990,DET,78,13,25.7,0.462,0.308,0.477,0.757,4.8,1.8,0.6,0.3,1.6,2.7,14.2,0
111,111,20,11,Mark Aguirre,1991-92,1991,DET,75,12,21.1,0.431,0.211,0.453,0.687,3.1,1.7,0.7,0.1,1.4,2.3,11.3,0
112,112,20,12,Mark Aguirre,1992-93,1992,DET,51,15,20.7,0.443,0.361,0.463,0.767,3.0,2.1,0.3,0.1,1.3,2.0,9.9,0
113,113,20,13,Mark Aguirre,1993-94,1993,LAC,39,0,22.0,0.468,0.398,0.494,0.694,3.0,2.7,0.5,0.2,1.8,2.5,10.6,0
114,114,21,1,Blake Ahearn,2007-08,2007,MIA,12,0,14.8,0.263,0.294,0.217,0.968,1.6,1.6,0.5,0.0,1.3,1.7,5.8,0
115,115,21,2,Blake Ahearn,2008-09,2008,SAS,3,0,6.3,0.333,0.5,0.0,1.0,0.3,0.7,0.3,0.0,0.3,1.0,2.7,0
116,116,21,3,Blake Ahearn,2011-12,2011,UTA,4,0,7.5,0.286,0.222,0.4,0.0,0.5,0.3,0.0,0.0,1.3,1.0,2.5,0
117,117,22,1,Danny Ainge,1981-82,1981,BOS,53,1,10.6,0.357,0.294,0.363,0.862,1.1,1.6,0.7,0.1,1.0,1.6,4.1,0
118,118,22,2,Danny Ainge,1982-83,1982,BOS,80,76,25.6,0.496,0.172,0.509,0.742,2.7,3.1,1.4,0.1,1.2,3.2,9.9,0
119,119,22,3,Danny Ainge,1983-84,1983,BOS,71,3,16.3,0.46,0.273,0.472,0.821,1.6,2.3,0.6,0.1,1.0,2.0,5.4,0
120,120,22,4,Danny Ainge,1984-85,1984,BOS,75,73,34.2,0.529,0.268,0.549,0.868,3.6,5.3,1.6,0.1,2.0,3.0,12.9,0
121,121,22,5,Danny Ainge,1985-86,1985,BOS,80,78,30.1,0.504,0.356,0.521,0.904,2.9,5.1,1.2,0.1,1.6,2.6,10.7,0
122,122,22,6,Danny Ainge,1986-87,1986,BOS,71,66,35.2,0.486,0.443,0.498,0.897,3.4,5.6,1.4,0.2,2.0,2.7,14.8,0
123,123,22,7,Danny Ainge,1987-88,1987,BOS,81,81,37.3,0.491,0.415,0.534,0.878,3.1,6.2,1.4,0.2,1.9,2.5,15.7,0
124,124,22,8,Danny Ainge,1988-89,1988,TOT,73,54,32.6,0.457,0.38,0.488,0.854,3.5,5.5,1.3,0.1,2.0,2.5,17.5,0
125,125,22,9,Danny Ainge,1989-90,1989,SAC,75,68,36.4,0.438,0.374,0.46,0.831,4.3,6.0,1.5,0.2,2.5,3.2,17.9,0
126,126,22,10,Danny Ainge,1990-91,1990,POR,80,0,21.4,0.472,0.406,0.508,0.826,2.6,3.6,0.8,0.2,1.3,2.4,11.1,0
127,127,22,11,Danny Ainge,1991-92,1991,POR,81,6,19.7,0.442,0.339,0.496,0.824,1.8,2.5,0.9,0.2,0.9,1.8,9.7,0
128,128,22,12,Danny Ainge,1992-93,1992,PHO,80,0,27.0,0.462,0.403,0.522,0.848,2.7,3.3,0.9,0.1,1.4,2.2,11.8,0
129,129,22,13,Danny Ainge,1993-94,1993,PHO,68,1,22.9,0.417,0.328,0.491,0.83,1.9,2.6,0.8,0.1,1.2,2.1,8.9,0
130,130,22,14,Danny Ainge,1994-95,1994,PHO,74,1,18.6,0.46,0.364,0.558,0.808,1.5,2.8,0.6,0.1,1.1,2.1,7.7,0
131,131,23,1,Alexis Ajinca,2008-09,2008,CHA,31,4,5.9,0.362,0.0,0.373,0.714,1.0,0.1,0.2,0.2,0.4,1.1,2.3,0
132,132,23,2,Alexis Ajinca,2009-10,2009,CHA,6,0,5.0,0.5,0.0,0.5,0.0,0.7,0.0,0.2,0.2,0.3,0.8,1.7,0
133,133,23,3,Alexis Ajinca,2010-11,2010,TOT,34,2,10.0,0.444,0.353,0.475,0.722,2.3,0.3,0.3,0.6,0.5,2.1,4.2,0
134,134,23,4,Alexis Ajinca,2013-14,2013,NOP,56,30,17.0,0.546,0.0,0.548,0.836,4.9,0.7,0.4,0.8,1.1,3.3,5.9,0
135,135,23,5,Alexis Ajinca,2014-15,2014,NOP,68,8,14.1,0.55,0.0,0.55,0.818,4.6,0.7,0.3,0.8,1.0,2.2,6.5,0
136,136,23,6,Alexis Ajinca,2015-16,2015,NOP,59,17,14.6,0.476,0.0,0.478,0.839,4.6,0.5,0.3,0.6,0.9,2.3,6.0,0
137,137,23,7,Alexis Ajinca,2016-17,2016,NOP,35,12,13.7,0.478,0.0,0.489,0.71,4.2,0.3,0.5,0.6,0.7,1.8,4.3,0
138,138,24,1,Josh Akognon,2012-13,2012,DAL,3,0,3.0,0.5,0.5,0.5,0.0,0.3,0.3,0.0,0.0,0.0,1.0,1.7,0
140,140,26,1,Solomon Alabi,2010-11,2010,TOR,12,0,4.9,0.2,0.0,0.2,0.0,1.2,0.2,0.2,0.2,0.3,0.4,0.5,0
141,141,26,2,Solomon Alabi,2011-12,2011,TOR,14,0,8.7,0.361,0.0,0.361,0.875,3.4,0.2,0.1,0.6,0.4,0.8,2.4,0
142,142,27,1,Mark Alarie,1986-87,1986,DEN,64,25,17.3,0.49,0.222,0.495,0.663,3.3,1.2,0.3,0.4,0.9,2.2,7.9,0
143,143,27,2,Mark Alarie,1987-88,1987,WSB,63,0,12.2,0.48,0.222,0.496,0.714,2.5,0.6,0.2,0.2,0.8,1.7,5.2,0
144,144,27,3,Mark Alarie,1988-89,1988,WSB,74,5,15.4,0.478,0.342,0.491,0.839,3.4,0.9,0.3,0.3,0.8,2.2,6.7,0
145,145,27,4,Mark Alarie,1989-90,1989,WSB,82,10,23.1,0.473,0.204,0.49,0.812,4.6,1.7,0.7,0.5,1.2,2.7,10.5,0
146,146,27,5,Mark Alarie,1990-91,1990,WSB,42,1,14.0,0.44,0.238,0.461,0.854,2.8,1.1,0.4,0.2,1.0,2.1,5.8,0
147,147,28,1,Furkan Aldemir,2014-15,2014,PHI,41,9,13.2,0.513,0.0,0.548,0.481,4.3,0.7,0.4,0.4,0.4,2.3,2.3,0
148,148,29,1,Cole Aldrich,2010-11,2010,OKC,18,0,7.9,0.533,0.0,0.533,0.5,1.9,0.2,0.3,0.4,0.4,1.7,1.0,0
149,149,29,2,Cole Aldrich,2011-12,2011,OKC,26,0,6.7,0.524,0.0,0.524,0.929,1.8,0.1,0.3,0.6,0.3,0.8,2.2,0
150,150,29,3,Cole Aldrich,2012-13,2012,TOT,45,0,8.6,0.55,0.0,0.55,0.6,2.7,0.2,0.1,0.5,0.5,1.3,2.2,0
151,151,29,4,Cole Aldrich,2013-14,2013,NYK,46,2,7.2,0.541,0.0,0.541,0.867,2.8,0.3,0.2,0.7,0.4,0.9,2.0,0
152,152,29,5,Cole Aldrich,2014-15,2014,NYK,61,16,16.0,0.478,0.0,0.478,0.781,5.5,1.2,0.6,1.1,1.0,2.0,5.5,0
153,153,29,6,Cole Aldrich,2015-16,2015,LAC,60,5,13.3,0.596,0.0,0.596,0.714,4.8,0.8,0.8,1.1,1.1,2.3,5.5,0
154,154,29,7,Cole Aldrich,2016-17,2016,MIN,61,0,8.5,0.524,0.0,0.524,0.682,2.5,0.4,0.4,0.4,0.3,1.4,1.7,0
155,155,29,8,Cole Aldrich,2017-18,2017,MIN,21,0,2.3,0.333,0.0,0.333,0.333,0.7,0.1,0.1,0.0,0.0,0.5,0.6,0
156,156,30,1,LaMarcus Aldridge,2006-07,2006,POR,63,22,22.1,0.503,0.0,0.505,0.722,5.0,0.4,0.3,1.2,0.7,3.0,9.0,0
157,157,30,2,LaMarcus Aldridge,2007-08,2007,POR,76,76,34.9,0.484,0.143,0.486,0.762,7.6,1.6,0.7,1.2,1.7,3.2,17.8,0
158,158,30,3,LaMarcus Aldridge,2008-09,2008,POR,81,81,37.1,0.484,0.25,0.489,0.781,7.5,1.9,1.0,1.0,1.5,2.6,18.1,0
159,159,30,4,LaMarcus Aldridge,2009-10,2009,POR,78,78,37.5,0.495,0.313,0.498,0.757,8.0,2.1,0.9,0.6,1.3,3.0,17.9,0
160,160,30,5,LaMarcus Aldridge,2010-11,2010,POR,81,81,39.6,0.5,0.174,0.505,0.791,8.8,2.1,1.0,1.2,1.9,2.7,21.8,1
161,161,30,6,LaMarcus Aldridge,2011-12,2011,POR,55,55,36.3,0.512,0.182,0.516,0.814,8.0,2.4,0.9,0.8,2.0,2.8,21.7,0
162,162,30,7,LaMarcus Aldridge,2012-13,2012,POR,74,74,37.7,0.484,0.143,0.488,0.81,9.1,2.6,0.8,1.2,1.9,2.5,21.1,0
163,163,30,8,LaMarcus Aldridge,2013-14,2013,POR,69,69,36.2,0.458,0.2,0.461,0.822,11.1,2.6,0.9,1.0,1.8,2.1,23.2,1
164,164,30,9,LaMarcus Aldridge,2014-15,2014,POR,71,71,35.4,0.466,0.352,0.475,0.845,10.2,1.7,0.7,1.0,1.7,1.8,23.4,1
165,165,30,10,LaMarcus Aldridge,2015-16,2015,SAS,74,74,30.6,0.513,0.0,0.521,0.858,8.5,1.5,0.5,1.1,1.3,2.0,18.0,1
166,166,30,11,LaMarcus Aldridge,2016-17,2016,SAS,69,69,32.6,0.472,0.434,0.474,0.81,7.4,2.0,0.6,1.2,1.4,2.2,17.3,0
167,167,30,12,LaMarcus Aldridge,2017-18,2017,SAS,75,75,33.5,0.51,0.293,0.526,0.837,8.5,2.0,0.6,1.2,1.5,2.1,23.1,1
169,169,31,1,Chuck Aleksinas,1984-85,1984,GSW,74,4,15.1,0.478,0.0,0.479,0.733,3.6,0.5,0.2,0.2,1.0,2.3,5.1,0
170,184,37,1,Victor Alexander,1991-92,1991,GSW,80,28,16.9,0.529,0.0,0.531,0.691,4.2,0.4,0.6,0.8,1.1,2.2,7.4,0
171,185,37,2,Victor Alexander,1992-93,1992,GSW,72,59,24.3,0.516,0.455,0.518,0.685,5.8,1.3,0.5,0.7,1.7,3.0,11.2,0
172,181,35,1,Gary Alexander,1993-94,1993,TOT,11,0,5.0,0.571,0.0,0.571,0.333,1.4,0.2,0.3,0.0,0.7,0.9,1.7,0
173,186,37,3,Victor Alexander,1993-94,1993,GSW,69,39,19.1,0.53,0.154,0.54,0.527,4.5,1.0,0.4,0.5,1.2,2.4,8.7,0
