,id_odsp,link_odsp,adv_stats,date,league,season,country,ht,at,fthg,ftag,odd_h,odd_d,odd_a,odd_over,odd_under,odd_bts,odd_bts_n,id_event,sort_order,time,text,event_type,event_type2,side,event_team,opponent,player,player2,player_in,player_out,shot_place,shot_outcome,is_goal,location,bodypart,assist_method,situation,fast_break
9142,2mfCxQlt/,/soccer/spain/primera-division-2011-2012/barcelona-villarreal-2mfCxQlt/,True,2011-08-29,SP1,2012,spain,Barcelona,Villarreal,5,0,1.18,8.8,21.0,,,,,2mfCxQlt13,13.0,14.0,Foul by Lionel Messi (Barcelona).,Foul,,Home,Barcelona,Villarreal,lionel messi,,,,,,0.0,,,None,,0.0
9147,2mfCxQlt/,/soccer/spain/primera-division-2011-2012/barcelona-villarreal-2mfCxQlt/,True,2011-08-29,SP1,2012,spain,Barcelona,Villarreal,5,0,1.18,8.8,21.0,,,,,2mfCxQlt18,18.0,17.0,Attempt saved. Lionel Messi (Barcelona) left footed shot from a difficult angle on the left is saved in the bottom left corner. Assisted by Pedro.,Attempt,Key Pass,Home,Barcelona,Villarreal,lionel messi,pedro,,,Bottom left corner,On target,0.0,Difficult angle on the left,left foot,Pass,Open play,0.0
9151,2mfCxQlt/,/soccer/spain/primera-division-2011-2012/barcelona-villarreal-2mfCxQlt/,True,2011-08-29,SP1,2012,spain,Barcelona,Villarreal,5,0,1.18,8.8,21.0,,,,,2mfCxQlt22,22.0,19.0,Attempt saved. Lionel Messi (Barcelona) left footed shot from outside the box is saved in the bottom right corner.,Attempt,,Home,Barcelona,Villarreal,lionel messi,,,,Bottom right corner,On target,0.0,Outside the box,left foot,None,Open play,0.0
9155,2mfCxQlt/,/soccer/spain/primera-division-2011-2012/barcelona-villarreal-2mfCxQlt/,True,2011-08-29,SP1,2012,spain,Barcelona,Villarreal,5,0,1.18,8.8,21.0,,,,,2mfCxQlt26,26.0,22.0,Lionel Messi (Barcelona) wins a free kick in the attacking half.,Free kick won,,Home,Barcelona,Villarreal,lionel messi,,,,,,0.0,Attacking half,,None,,0.0
9164,2mfCxQlt/,/soccer/spain/primera-division-2011-2012/barcelona-villarreal-2mfCxQlt/,True,2011-08-29,SP1,2012,spain,Barcelona,Villarreal,5,0,1.18,8.8,21.0,,,,,2mfCxQlt35,35.0,31.0,Lionel Messi (Barcelona) wins a free kick in the attacking half.,Free kick won,,Home,Barcelona,Villarreal,lionel messi,,,,,,0.0,Attacking half,,None,,0.0
9192,2mfCxQlt/,/soccer/spain/primera-division-2011-2012/barcelona-villarreal-2mfCxQlt/,True,2011-08-29,SP1,2012,spain,Barcelona,Villarreal,5,0,1.18,8.8,21.0,,,,,2mfCxQlt63,63.0,52.0,"Goal!  Barcelona 4, Villarreal 0. Lionel Messi (Barcelona) right footed shot from the right side of the six yard box to the bottom right corner. Assisted by AndrA©s Iniesta with a through ball.",Attempt,Key Pass,Home,Barcelona,Villarreal,lionel messi,andres iniesta,,,Bottom right corner,On target,1.0,Right side of the six yard box,right foot,Through ball,Open play,0.0
9205,2mfCxQlt/,/soccer/spain/primera-division-2011-2012/barcelona-villarreal-2mfCxQlt/,True,2011-08-29,SP1,2012,spain,Barcelona,Villarreal,5,0,1.18,8.8,21.0,,,,,2mfCxQlt76,76.0,70.0,Attempt saved. Lionel Messi (Barcelona) left footed shot from the left side of the box is saved in the centre of the goal. Assisted by Thiago AlcA¡ntara.,Attempt,Key Pass,Home,Barcelona,Villarreal,lionel messi,thiago alcantara,,,Centre of the goal,On target,0.0,Left side of the box,left foot,Pass,Open play,0.0
9211,2mfCxQlt/,/soccer/spain/primera-division-2011-2012/barcelona-villarreal-2mfCxQlt/,True,2011-08-29,SP1,2012,spain,Barcelona,Villarreal,5,0,1.18,8.8,21.0,,,,,2mfCxQlt82,82.0,73.0,Lionel Messi (Barcelona) wins a free kick in the attacking half.,Free kick won,,Home,Barcelona,Villarreal,lionel messi,,,,,,0.0,Attacking half,,None,,0.0
9212,2mfCxQlt/,/soccer/spain/primera-division-2011-2012/barcelona-villarreal-2mfCxQlt/,True,2011-08-29,SP1,2012,spain,Barcelona,Villarreal,5,0,1.18,8.8,21.0,,,,,2mfCxQlt83,83.0,74.0,"Goal!  Barcelona 5, Villarreal 0. Lionel Messi (Barcelona) left footed shot from very close range to the centre of the goal. Assisted by Thiago AlcA¡ntara.",Attempt,Key Pass,Home,Barcelona,Villarreal,lionel messi,thiago alcantara,,,Centre of the goal,On target,1.0,Very close range,left foot,Pass,Open play,0.0
10952,vJhKQJeo/,/soccer/spain/primera-division-2011-2012/real-sociedad-barcelona-vJhKQJeo/,True,2011-09-10,SP1,2012,spain,Real Sociedad,Barcelona,2,2,15.51,7.2,1.25,,,,,vJhKQJeo60,60.0,66.0,Foul by Lionel Messi (Barcelona).,Foul,,Away,Barcelona,Real Sociedad,lionel messi,,,,,,0.0,,,None,,0.0
10954,vJhKQJeo/,/soccer/spain/primera-division-2011-2012/real-sociedad-barcelona-vJhKQJeo/,True,2011-09-10,SP1,2012,spain,Real Sociedad,Barcelona,2,2,15.51,7.2,1.25,,,,,vJhKQJeo62,62.0,67.0,Lionel Messi (Barcelona) wins a free kick in the attacking half.,Free kick won,,Away,Barcelona,Real Sociedad,lionel messi,,,,,,0.0,Attacking half,,None,,0.0
10957,vJhKQJeo/,/soccer/spain/primera-division-2011-2012/real-sociedad-barcelona-vJhKQJeo/,True,2011-09-10,SP1,2012,spain,Real Sociedad,Barcelona,2,2,15.51,7.2,1.25,,,,,vJhKQJeo65,65.0,70.0,Attempt saved. Lionel Messi (Barcelona) left footed shot from outside the box is saved in the bottom right corner.,Attempt,,Away,Barcelona,Real Sociedad,lionel messi,,,,Bottom right corner,On target,0.0,Outside the box,left foot,None,Open play,0.0
10958,vJhKQJeo/,/soccer/spain/primera-division-2011-2012/real-sociedad-barcelona-vJhKQJeo/,True,2011-09-10,SP1,2012,spain,Real Sociedad,Barcelona,2,2,15.51,7.2,1.25,,,,,vJhKQJeo66,66.0,71.0,Attempt missed. Lionel Messi (Barcelona) left footed shot from outside the box misses to the right. Assisted by Pedro.,Attempt,Key Pass,Away,Barcelona,Real Sociedad,lionel messi,pedro,,,Misses to the right,Off target,0.0,Outside the box,left foot,Pass,Open play,0.0
10965,vJhKQJeo/,/soccer/spain/primera-division-2011-2012/real-sociedad-barcelona-vJhKQJeo/,True,2011-09-10,SP1,2012,spain,Real Sociedad,Barcelona,2,2,15.51,7.2,1.25,,,,,vJhKQJeo73,73.0,80.0,Attempt blocked. Lionel Messi (Barcelona) right footed shot from the centre of the box is blocked. Assisted by David Villa.,Attempt,Key Pass,Away,Barcelona,Real Sociedad,lionel messi,david villa,,,Blocked,Blocked,0.0,Centre of the box,right foot,Pass,Open play,0.0
10966,vJhKQJeo/,/soccer/spain/primera-division-2011-2012/real-sociedad-barcelona-vJhKQJeo/,True,2011-09-10,SP1,2012,spain,Real Sociedad,Barcelona,2,2,15.51,7.2,1.25,,,,,vJhKQJeo74,74.0,80.0,Attempt saved. Lionel Messi (Barcelona) right footed shot from a difficult angle on the right is saved in the centre of the goal. Assisted by Pedro with a through ball.,Attempt,Key Pass,Away,Barcelona,Real Sociedad,lionel messi,pedro,,,Centre of the goal,On target,0.0,Difficult angle on the right,right foot,Through ball,Open play,0.0
10971,vJhKQJeo/,/soccer/spain/primera-division-2011-2012/real-sociedad-barcelona-vJhKQJeo/,True,2011-09-10,SP1,2012,spain,Real Sociedad,Barcelona,2,2,15.51,7.2,1.25,,,,,vJhKQJeo79,79.0,82.0,Lionel Messi (Barcelona) wins a free kick in the attacking half.,Free kick won,,Away,Barcelona,Real Sociedad,lionel messi,,,,,,0.0,Attacking half,,None,,0.0
10987,vJhKQJeo/,/soccer/spain/primera-division-2011-2012/real-sociedad-barcelona-vJhKQJeo/,True,2011-09-10,SP1,2012,spain,Real Sociedad,Barcelona,2,2,15.51,7.2,1.25,,,,,vJhKQJeo95,95.0,90.0,Lionel Messi (Barcelona) is shown the yellow card.,Yellow card,,Away,Barcelona,Real Sociedad,lionel messi,,,,,,0.0,,,None,,0.0
14172,j9jGN56j/,/soccer/spain/primera-division-2011-2012/barcelona-osasuna-j9jGN56j/,True,2011-09-17,SP1,2012,spain,Barcelona,Osasuna,8,0,1.1,13.0,35.0,,,,,j9jGN56j4,4.0,5.0,"Goal!  Barcelona 1, Osasuna 0. Lionel Messi (Barcelona) left footed shot from very close range to the bottom right corner. Assisted by Dani Alves with a headed pass.",Attempt,Key Pass,Home,Barcelona,Osasuna,lionel messi,dani alves,,,Bottom right corner,On target,1.0,Very close range,left foot,Headed pass,Open play,0.0
14175,j9jGN56j/,/soccer/spain/primera-division-2011-2012/barcelona-osasuna-j9jGN56j/,True,2011-09-17,SP1,2012,spain,Barcelona,Osasuna,8,0,1.1,13.0,35.0,,,,,j9jGN56j7,7.0,8.0,Attempt saved. Lionel Messi (Barcelona) left footed shot from the centre of the box is saved in the bottom right corner. Assisted by Sergio Busquets.,Attempt,Key Pass,Home,Barcelona,Osasuna,lionel messi,sergio busquets,,,Bottom right corner,On target,0.0,Centre of the box,left foot,Pass,Open play,0.0
14180,j9jGN56j/,/soccer/spain/primera-division-2011-2012/barcelona-osasuna-j9jGN56j/,True,2011-09-17,SP1,2012,spain,Barcelona,Osasuna,8,0,1.1,13.0,35.0,,,,,j9jGN56j12,12.0,16.0,Hand ball by Lionel Messi (Barcelona).,Hand ball,,Home,Barcelona,Osasuna,lionel messi,,,,,,0.0,,,None,,0.0
14184,j9jGN56j/,/soccer/spain/primera-division-2011-2012/barcelona-osasuna-j9jGN56j/,True,2011-09-17,SP1,2012,spain,Barcelona,Osasuna,8,0,1.1,13.0,35.0,,,,,j9jGN56j16,16.0,20.0,Foul by Lionel Messi (Barcelona).,Foul,,Home,Barcelona,Osasuna,lionel messi,,,,,,0.0,,,None,,0.0
14209,j9jGN56j/,/soccer/spain/primera-division-2011-2012/barcelona-osasuna-j9jGN56j/,True,2011-09-17,SP1,2012,spain,Barcelona,Osasuna,8,0,1.1,13.0,35.0,,,,,j9jGN56j41,41.0,41.0,"Goal!  Barcelona 5, Osasuna 0. Lionel Messi (Barcelona) left footed shot from the centre of the box to the bottom right corner. Assisted by Francesc FA¡bregas.",Attempt,Key Pass,Home,Barcelona,Osasuna,lionel messi,cesc fabregas,,,Bottom right corner,On target,1.0,Centre of the box,left foot,Pass,Open play,0.0
14220,j9jGN56j/,/soccer/spain/primera-division-2011-2012/barcelona-osasuna-j9jGN56j/,True,2011-09-17,SP1,2012,spain,Barcelona,Osasuna,8,0,1.1,13.0,35.0,,,,,j9jGN56j52,52.0,47.0,"Offside, Barcelona. Thiago AlcA¡ntara tries a through ball, but Lionel Messi is caught offside.",Offside,Failed through ball,Home,Barcelona,Osasuna,lionel messi,thiago alcantara,,,,,0.0,,,None,,0.0
14226,j9jGN56j/,/soccer/spain/primera-division-2011-2012/barcelona-osasuna-j9jGN56j/,True,2011-09-17,SP1,2012,spain,Barcelona,Osasuna,8,0,1.1,13.0,35.0,,,,,j9jGN56j58,58.0,50.0,Lionel Messi (Barcelona) hits the bar with a left footed shot from the centre of the box. Assisted by Dani Alves with a through ball.,Attempt,Key Pass,Home,Barcelona,Osasuna,lionel messi,dani alves,,,Hits the bar,Hit the bar,0.0,Centre of the box,left foot,Through ball,Open play,0.0
14234,j9jGN56j/,/soccer/spain/primera-division-2011-2012/barcelona-osasuna-j9jGN56j/,True,2011-09-17,SP1,2012,spain,Barcelona,Osasuna,8,0,1.1,13.0,35.0,,,,,j9jGN56j66,66.0,60.0,Attempt saved. Lionel Messi (Barcelona) left footed shot from the centre of the box is saved in the centre of the goal. Assisted by Dani Alves with a cross.,Attempt,Key Pass,Home,Barcelona,Osasuna,lionel messi,dani alves,,,Centre of the goal,On target,0.0,Centre of the box,left foot,Cross,Open play,0.0
14240,j9jGN56j/,/soccer/spain/primera-division-2011-2012/barcelona-osasuna-j9jGN56j/,True,2011-09-17,SP1,2012,spain,Barcelona,Osasuna,8,0,1.1,13.0,35.0,,,,,j9jGN56j72,72.0,66.0,"Offside, Barcelona. Dani Alves tries a through ball, but Lionel Messi is caught offside.",Offside,Failed through ball,Home,Barcelona,Osasuna,lionel messi,dani alves,,,,,0.0,,,None,,0.0
14257,j9jGN56j/,/soccer/spain/primera-division-2011-2012/barcelona-osasuna-j9jGN56j/,True,2011-09-17,SP1,2012,spain,Barcelona,Osasuna,8,0,1.1,13.0,35.0,,,,,j9jGN56j89,89.0,79.0,"Goal!  Barcelona 8, Osasuna 0. Lionel Messi (Barcelona) left footed shot from the centre of the box to the centre of the goal. Assisted by Francesc FA¡bregas.",Attempt,Key Pass,Home,Barcelona,Osasuna,lionel messi,cesc fabregas,,,Centre of the goal,On target,1.0,Centre of the box,left foot,Pass,Open play,0.0
14262,j9jGN56j/,/soccer/spain/primera-division-2011-2012/barcelona-osasuna-j9jGN56j/,True,2011-09-17,SP1,2012,spain,Barcelona,Osasuna,8,0,1.1,13.0,35.0,,,,,j9jGN56j94,94.0,84.0,"Offside, Barcelona. Dani Alves tries a through ball, but Lionel Messi is caught offside.",Offside,Failed through ball,Home,Barcelona,Osasuna,lionel messi,dani alves,,,,,0.0,,,None,,0.0
14265,j9jGN56j/,/soccer/spain/primera-division-2011-2012/barcelona-osasuna-j9jGN56j/,True,2011-09-17,SP1,2012,spain,Barcelona,Osasuna,8,0,1.1,13.0,35.0,,,,,j9jGN56j97,97.0,87.0,Attempt saved. Lionel Messi (Barcelona) left footed shot from a difficult angle and long range on the right is saved in the centre of the goal.,Attempt,,Home,Barcelona,Osasuna,lionel messi,,,,Centre of the goal,On target,0.0,Difficult angle and long range,left foot,None,Open play,0.0
14268,j9jGN56j/,/soccer/spain/primera-division-2011-2012/barcelona-osasuna-j9jGN56j/,True,2011-09-17,SP1,2012,spain,Barcelona,Osasuna,8,0,1.1,13.0,35.0,,,,,j9jGN56j100,100.0,90.0,"Offside, Barcelona. Dani Alves tries a through ball, but Lionel Messi is caught offside.",Offside,Failed through ball,Home,Barcelona,Osasuna,lionel messi,dani alves,,,,,0.0,,,None,,0.0
17699,692AyPzj/,/soccer/spain/primera-division-2011-2012/valencia-barcelona-692AyPzj/,True,2011-09-21,SP1,2012,spain,Valencia,Barcelona,2,2,8.19,5.0,1.47,,,,,692AyPzj6,6.0,7.0,"Offside, Barcelona. Xavi tries a through ball, but Lionel Messi is caught offside.",Offside,Failed through ball,Away,Barcelona,Valencia,lionel messi,xavi,,,,,0.0,,,None,,0.0
17708,692AyPzj/,/soccer/spain/primera-division-2011-2012/valencia-barcelona-692AyPzj/,True,2011-09-21,SP1,2012,spain,Valencia,Barcelona,2,2,8.19,5.0,1.47,,,,,692AyPzj15,15.0,20.0,Attempt saved. Lionel Messi (Barcelona) left footed shot from outside the box is saved in the centre of the goal. Assisted by Dani Alves.,Attempt,Key Pass,Away,Barcelona,Valencia,lionel messi,dani alves,,,Centre of the goal,On target,0.0,Outside the box,left foot,Pass,Open play,0.0
17741,692AyPzj/,/soccer/spain/primera-division-2011-2012/valencia-barcelona-692AyPzj/,True,2011-09-21,SP1,2012,spain,Valencia,Barcelona,2,2,8.19,5.0,1.47,,,,,692AyPzj48,48.0,55.0,"Offside, Barcelona. Sergio Busquets tries a through ball, but Lionel Messi is caught offside.",Offside,Failed through ball,Away,Barcelona,Valencia,lionel messi,sergio busquets,,,,,0.0,,,None,,0.0
17771,692AyPzj/,/soccer/spain/primera-division-2011-2012/valencia-barcelona-692AyPzj/,True,2011-09-21,SP1,2012,spain,Valencia,Barcelona,2,2,8.19,5.0,1.47,,,,,692AyPzj78,78.0,87.0,"Offside, Barcelona. Dani Alves tries a through ball, but Lionel Messi is caught offside.",Offside,Failed through ball,Away,Barcelona,Valencia,lionel messi,dani alves,,,,,0.0,,,None,,0.0
17780,692AyPzj/,/soccer/spain/primera-division-2011-2012/valencia-barcelona-692AyPzj/,True,2011-09-21,SP1,2012,spain,Valencia,Barcelona,2,2,8.19,5.0,1.47,,,,,692AyPzj87,87.0,90.0,Attempt missed. Lionel Messi (Barcelona) left footed shot from the right side of the box misses to the left.,Attempt,,Away,Barcelona,Valencia,lionel messi,,,,Misses to the left,Off target,0.0,Right side of the box,left foot,None,Open play,0.0
22010,vTglm2Ke/,/soccer/spain/primera-division-2011-2012/barcelona-atl-madrid-vTglm2Ke/,True,2011-09-24,SP1,2012,spain,Barcelona,Atletico Madrid,5,0,1.23,8.22,14.0,,,,,vTglm2Ke21,21.0,15.0,Attempt saved. Lionel Messi (Barcelona) left footed shot from the centre of the box is saved in the centre of the goal.,Attempt,,Home,Barcelona,Atletico Madrid,lionel messi,,,,Centre of the goal,On target,0.0,Centre of the box,left foot,None,Open play,0.0
22018,vTglm2Ke/,/soccer/spain/primera-division-2011-2012/barcelona-atl-madrid-vTglm2Ke/,True,2011-09-24,SP1,2012,spain,Barcelona,Atletico Madrid,5,0,1.23,8.22,14.0,,,,,vTglm2Ke29,29.0,26.0,"Goal!  Barcelona 3, AtlA©tico de Madrid 0. Lionel Messi (Barcelona) left footed shot from the right side of the box to the bottom right corner. Assisted by Pedro.",Attempt,Key Pass,Home,Barcelona,Atletico Madrid,lionel messi,pedro,,,Bottom right corner,On target,1.0,Right side of the box,left foot,Pass,Open play,0.0
22044,vTglm2Ke/,/soccer/spain/primera-division-2011-2012/barcelona-atl-madrid-vTglm2Ke/,True,2011-09-24,SP1,2012,spain,Barcelona,Atletico Madrid,5,0,1.23,8.22,14.0,,,,,vTglm2Ke55,55.0,54.0,Attempt saved. Lionel Messi (Barcelona) left footed shot from the centre of the box is saved in the centre of the goal. Assisted by Francesc FA¡bregas with a through ball.,Attempt,Key Pass,Home,Barcelona,Atletico Madrid,lionel messi,cesc fabregas,,,Centre of the goal,On target,0.0,Centre of the box,left foot,Through ball,Open play,0.0
22049,vTglm2Ke/,/soccer/spain/primera-division-2011-2012/barcelona-atl-madrid-vTglm2Ke/,True,2011-09-24,SP1,2012,spain,Barcelona,Atletico Madrid,5,0,1.23,8.22,14.0,,,,,vTglm2Ke60,60.0,57.0,"Offside, Barcelona. Francesc FA¡bregas tries a through ball, but Lionel Messi is caught offside.",Offside,Failed through ball,Home,Barcelona,Atletico Madrid,lionel messi,cesc fabregas,,,,,0.0,,,None,,0.0
22063,vTglm2Ke/,/soccer/spain/primera-division-2011-2012/barcelona-atl-madrid-vTglm2Ke/,True,2011-09-24,SP1,2012,spain,Barcelona,Atletico Madrid,5,0,1.23,8.22,14.0,,,,,vTglm2Ke74,74.0,68.0,Lionel Messi (Barcelona) wins a free kick in the defensive half.,Free kick won,,Home,Barcelona,Atletico Madrid,lionel messi,,,,,,0.0,Defensive half,,None,,0.0
22070,vTglm2Ke/,/soccer/spain/primera-division-2011-2012/barcelona-atl-madrid-vTglm2Ke/,True,2011-09-24,SP1,2012,spain,Barcelona,Atletico Madrid,5,0,1.23,8.22,14.0,,,,,vTglm2Ke81,81.0,72.0,Lionel Messi (Barcelona) wins a free kick in the attacking half.,Free kick won,,Home,Barcelona,Atletico Madrid,lionel messi,,,,,,0.0,Attacking half,,None,,0.0
22073,vTglm2Ke/,/soccer/spain/primera-division-2011-2012/barcelona-atl-madrid-vTglm2Ke/,True,2011-09-24,SP1,2012,spain,Barcelona,Atletico Madrid,5,0,1.23,8.22,14.0,,,,,vTglm2Ke84,84.0,73.0,"Attempt missed. Lionel Messi (Barcelona) left footed shot from outside the box is close, but misses to the left from a direct free kick.",Attempt,,Home,Barcelona,Atletico Madrid,lionel messi,,,,Misses to the left,Off target,0.0,Outside the box,left foot,None,Free kick,0.0
22084,vTglm2Ke/,/soccer/spain/primera-division-2011-2012/barcelona-atl-madrid-vTglm2Ke/,True,2011-09-24,SP1,2012,spain,Barcelona,Atletico Madrid,5,0,1.23,8.22,14.0,,,,,vTglm2Ke95,95.0,76.0,Attempt blocked. Lionel Messi (Barcelona) left footed shot from the centre of the box is blocked.,Attempt,,Home,Barcelona,Atletico Madrid,lionel messi,,,,Blocked,Blocked,0.0,Centre of the box,left foot,None,Open play,0.0
22086,vTglm2Ke/,/soccer/spain/primera-division-2011-2012/barcelona-atl-madrid-vTglm2Ke/,True,2011-09-24,SP1,2012,spain,Barcelona,Atletico Madrid,5,0,1.23,8.22,14.0,,,,,vTglm2Ke97,97.0,78.0,"Goal!  Barcelona 4, AtlA©tico de Madrid 0. Lionel Messi (Barcelona) left footed shot from the centre of the box to the bottom right corner following a fast break.",Attempt,,Home,Barcelona,Atletico Madrid,lionel messi,,,,Bottom right corner,On target,1.0,Centre of the box,left foot,None,Open play,1.0
22100,vTglm2Ke/,/soccer/spain/primera-division-2011-2012/barcelona-atl-madrid-vTglm2Ke/,True,2011-09-24,SP1,2012,spain,Barcelona,Atletico Madrid,5,0,1.23,8.22,14.0,,,,,vTglm2Ke111,111.0,90.0,"Goal!  Barcelona 5, AtlA©tico de Madrid 0. Lionel Messi (Barcelona) left footed shot from a difficult angle on the left to the centre of the goal. Assisted by David Villa with a through ball.",Attempt,Key Pass,Home,Barcelona,Atletico Madrid,lionel messi,david villa,,,Centre of the goal,On target,1.0,Difficult angle on the left,left foot,Through ball,Open play,0.0
26591,0OeqlZA6/,/soccer/spain/primera-division-2011-2012/gijon-barcelona-0OeqlZA6/,True,2011-10-02,SP1,2012,spain,Sporting Gijon,Barcelona,0,1,21.08,8.4,1.19,,,,,0OeqlZA64,4.0,2.0,Lionel Messi (Barcelona) wins a free kick in the attacking half.,Free kick won,,Away,Barcelona,Sporting Gijon,lionel messi,,,,,,0.0,Attacking half,,None,,0.0
26594,0OeqlZA6/,/soccer/spain/primera-division-2011-2012/gijon-barcelona-0OeqlZA6/,True,2011-10-02,SP1,2012,spain,Sporting Gijon,Barcelona,0,1,21.08,8.4,1.19,,,,,0OeqlZA67,7.0,7.0,Lionel Messi (Barcelona) wins a free kick in the attacking half.,Free kick won,,Away,Barcelona,Sporting Gijon,lionel messi,,,,,,0.0,Attacking half,,None,,0.0
26601,0OeqlZA6/,/soccer/spain/primera-division-2011-2012/gijon-barcelona-0OeqlZA6/,True,2011-10-02,SP1,2012,spain,Sporting Gijon,Barcelona,0,1,21.08,8.4,1.19,,,,,0OeqlZA614,14.0,13.0,Lionel Messi (Barcelona) wins a free kick in the defensive half.,Free kick won,,Away,Barcelona,Sporting Gijon,lionel messi,,,,,,0.0,Defensive half,,None,,0.0
26611,0OeqlZA6/,/soccer/spain/primera-division-2011-2012/gijon-barcelona-0OeqlZA6/,True,2011-10-02,SP1,2012,spain,Sporting Gijon,Barcelona,0,1,21.08,8.4,1.19,,,,,0OeqlZA624,24.0,22.0,"Offside, Barcelona. Javier Mascherano tries a through ball, but Lionel Messi is caught offside.",Offside,Failed through ball,Away,Barcelona,Sporting Gijon,lionel messi,javier mascherano,,,,,0.0,,,None,,0.0
26622,0OeqlZA6/,/soccer/spain/primera-division-2011-2012/gijon-barcelona-0OeqlZA6/,True,2011-10-02,SP1,2012,spain,Sporting Gijon,Barcelona,0,1,21.08,8.4,1.19,,,,,0OeqlZA635,35.0,41.0,"Offside, Barcelona. David Villa tries a through ball, but Lionel Messi is caught offside.",Offside,Failed through ball,Away,Barcelona,Sporting Gijon,lionel messi,david villa,,,,,0.0,,,None,,0.0
26633,0OeqlZA6/,/soccer/spain/primera-division-2011-2012/gijon-barcelona-0OeqlZA6/,True,2011-10-02,SP1,2012,spain,Sporting Gijon,Barcelona,0,1,21.08,8.4,1.19,,,,,0OeqlZA646,46.0,53.0,Attempt blocked. Lionel Messi (Barcelona) left footed shot from outside the box is blocked. Assisted by Adriano.,Attempt,Key Pass,Away,Barcelona,Sporting Gijon,lionel messi,adriano,,,Blocked,Blocked,0.0,Outside the box,left foot,Pass,Open play,0.0
26637,0OeqlZA6/,/soccer/spain/primera-division-2011-2012/gijon-barcelona-0OeqlZA6/,True,2011-10-02,SP1,2012,spain,Sporting Gijon,Barcelona,0,1,21.08,8.4,1.19,,,,,0OeqlZA650,50.0,55.0,Lionel Messi (Barcelona) wins a free kick on the right wing.,Free kick won,,Away,Barcelona,Sporting Gijon,lionel messi,,,,,,0.0,Right wing,,None,,0.0
26655,0OeqlZA6/,/soccer/spain/primera-division-2011-2012/gijon-barcelona-0OeqlZA6/,True,2011-10-02,SP1,2012,spain,Sporting Gijon,Barcelona,0,1,21.08,8.4,1.19,,,,,0OeqlZA668,68.0,77.0,Attempt saved. Lionel Messi (Barcelona) header from the centre of the box is saved in the centre of the goal. Assisted by Adriano with a cross.,Attempt,Key Pass,Away,Barcelona,Sporting Gijon,lionel messi,adriano,,,Centre of the goal,On target,0.0,Centre of the box,head,Cross,Open play,0.0
26663,0OeqlZA6/,/soccer/spain/primera-division-2011-2012/gijon-barcelona-0OeqlZA6/,True,2011-10-02,SP1,2012,spain,Sporting Gijon,Barcelona,0,1,21.08,8.4,1.19,,,,,0OeqlZA676,76.0,84.0,Lionel Messi (Barcelona) wins a free kick on the right wing.,Free kick won,,Away,Barcelona,Sporting Gijon,lionel messi,,,,,,0.0,Right wing,,None,,0.0
26665,0OeqlZA6/,/soccer/spain/primera-division-2011-2012/gijon-barcelona-0OeqlZA6/,True,2011-10-02,SP1,2012,spain,Sporting Gijon,Barcelona,0,1,21.08,8.4,1.19,,,,,0OeqlZA678,78.0,86.0,Attempt saved. Lionel Messi (Barcelona) left footed shot from outside the box is saved in the centre of the goal. Assisted by Dani Alves.,Attempt,Key Pass,Away,Barcelona,Sporting Gijon,lionel messi,dani alves,,,Centre of the goal,On target,0.0,Outside the box,left foot,Pass,Open play,0.0
26670,0OeqlZA6/,/soccer/spain/primera-division-2011-2012/gijon-barcelona-0OeqlZA6/,True,2011-10-02,SP1,2012,spain,Sporting Gijon,Barcelona,0,1,21.08,8.4,1.19,,,,,0OeqlZA683,83.0,88.0,Attempt missed. Lionel Messi (Barcelona) left footed shot from the centre of the box is high and wide to the right. Assisted by Dani Alves with a cross.,Attempt,Key Pass,Away,Barcelona,Sporting Gijon,lionel messi,dani alves,,,High and wide,Off target,0.0,Centre of the box,left foot,Cross,Open play,0.0
26675,0OeqlZA6/,/soccer/spain/primera-division-2011-2012/gijon-barcelona-0OeqlZA6/,True,2011-10-02,SP1,2012,spain,Sporting Gijon,Barcelona,0,1,21.08,8.4,1.19,,,,,0OeqlZA688,88.0,90.0,Lionel Messi (Barcelona) wins a free kick in the attacking half.,Free kick won,,Away,Barcelona,Sporting Gijon,lionel messi,,,,,,0.0,Attacking half,,None,,0.0
26677,0OeqlZA6/,/soccer/spain/primera-division-2011-2012/gijon-barcelona-0OeqlZA6/,True,2011-10-02,SP1,2012,spain,Sporting Gijon,Barcelona,0,1,21.08,8.4,1.19,,,,,0OeqlZA690,90.0,90.0,Attempt blocked. Lionel Messi (Barcelona) left footed shot from outside the box is blocked.,Attempt,,Away,Barcelona,Sporting Gijon,lionel messi,,,,Blocked,Blocked,0.0,Outside the box,left foot,None,Open play,0.0
28940,8I6s1CfC/,/soccer/spain/primera-division-2011-2012/barcelona-santander-8I6s1CfC/,True,2011-10-15,SP1,2012,spain,Barcelona,Racing Santander,3,0,1.06,18.0,45.69,,,,,8I6s1CfC4,4.0,11.0,"Goal!  Barcelona 1, Racing 0. Lionel Messi (Barcelona) right footed shot from the right side of the six yard box to the bottom left corner. Assisted by AndrA©s Iniesta.",Attempt,Key Pass,Home,Barcelona,Racing Santander,lionel messi,andres iniesta,,,Bottom left corner,On target,1.0,Right side of the six yard box,right foot,Pass,Open play,0.0
